time;model_id;model_name;port_name;data
9;18;bid-2;;{0,3,25,1,15}
9;19;filter_b-2;out;{2,1}
9;19;filter_b-2;;{0,1}
9;21;bid-1;;{0,3,40,1,0}
9;22;filter_b-1;out;{1,1}
9;22;filter_b-1;;{0,1}
9;24;ask-4;;{0,3,60,1,10}
9;25;filter_s-4;out;{4,1}
9;25;filter_s-4;;{0,1}
9;27;ask-3;;{0,3,50,1,10}
9;28;filter_s-3;out;{3,1}
9;28;filter_s-3;;{0,1}
10;3;ask-2;out;{2,30}
10;3;ask-2;surplus;{2,0}
10;3;ask-2;;{0,3,30,0,0}
10;6;ask-1;out;{1,20}
10;6;ask-1;surplus;{2,0}
10;6;ask-1;;{0,3,20,0,0}
10;9;bid-5;surplus;{2,0}
10;9;bid-5;;{0,3,50,0,0}
10;12;bid-4;surplus;{2,20}
10;12;bid-4;;{0,3,40,0,20}
10;15;bid-3;surplus;{2,20}
10;15;bid-3;;{0,3,30,0,20}
10;18;bid-2;surplus;{2,15}
10;18;bid-2;;{0,3,25,0,15}
10;21;bid-1;surplus;{2,0}
10;21;bid-1;;{0,3,40,0,0}
10;24;ask-4;surplus;{2,10}
10;24;ask-4;;{0,3,60,0,10}
10;27;ask-3;surplus;{2,10}
10;27;ask-3;;{0,3,50,0,10}
10;29;auctioneer;;{2,3,1,0,0,75,{1,20,0},{2,30,0},{3,50,1},{4,60,1},{1,40,1}{2,25,1}{3,30,1}{4,40,1}{5,50,1}}
10;30;analysis;;{2,55,20,75,150}
10.5;30;analysis;out_total_surplus;150
10.5;30;analysis;out_buyer_surplus;55
10.5;30;analysis;out_seller_surplus;20
10.5;30;analysis;out_auctioneer_surplus;75
10.5;30;analysis;;{3,0,0,0,0}
12;29;auctioneer;;{2,3,0,1,0,75,{1,20,1},{2,30,0},{3,50,0},{4,60,0},{1,40,0}{2,25,1}{3,30,1}{4,40,1}{5,50,0}}
12;4;filter_s-2;;{1,0}
12;7;filter_s-1;;{1,1}
12;10;filter_b-5;;{1,0}
12;13;filter_b-4;;{1,1}
12;16;filter_b-3;;{1,1}
12;19;filter_b-2;;{1,1}
